wallsMaterial,floorNumber,floorsTotal,totalArea,kitchenArea,latitude,longitude,price
brick,1,5,18,3,46.723379,30.6285,56000
brick,1,5,15,3,46.72598,30.601031,46500
brick,1,5,11.9,1.5,46.735976,30.65081,29900
brick,1,7,18.4,3,46.786698,30.595321,43900
brick,2,5,17.6,2,46.767894,30.66592,48900
brick,5,9,21.5,3,46.784066,30.630425,80500
brick,5,9,21.5,3,46.784066,30.630425,80500
monolithBrick,1,3,29,6,46.76324,30.651825,158950
brick,5,8,28.8,6.5,46.776472,30.598869,105000
brick,1,5,25.2,2,46.735976,30.65081,48500
monolithBrick,5,9,29,7,46.774645,30.602118,84500
brick,2,9,29.5,5.8,46.777869,30.006012,84499
brick,5,8,28.8,7,46.776472,30.598869,105000
monolithBrick,12,30,30,10,46.754618,30.524058,95000
brick,4,5,32.6,5,46.73478,30.653909,80000
brick,3,5,30,6,46.767165,30.658356,95000
panel,9,12,31,7.2,46.731642,30.565614,115000
block,2,9,31,6,46.73334,30.66249,99000
brick,8,8,31,6.9,46.726046,30.58148,108000
brick,3,8,30.7,5,46.789082,30.620095,83000
brick,7,9,32,5.8,46.791223,30.631532,85000
brick,2,5,30.3,5.4,46.783787,30.604041,89000
brick,8,8,32,7,46.726046,30.58148,108000
brick,3,6,32.3,6,46.737243,30.64103,18000
brick,3,10,31.2,7,46.775894,30.595564,115000
brick,3,10,31.2,7,46.775894,30.595564,115000
brick,3,10,31.2,7,46.775894,30.595564,115000
brick,5,5,31,6,46.756771,30.520034,20800
brick,2,5,30,6,46.762541,30.60202,85000
brick,3,5,31,5,46.781565,30.591028,90000
brick,3,9,32.8,9.1,46.736757,30.658491,105000
brick,2,5,32,6,46.729858,30.591288,108500
monolith,2,9,31,6,46.723491,30.611329,110000
brick,4,8,31.6,5,46.77357,30.62952,145000
brick,8,9,34.5,6.5,46.783367,30.580103,96000
monolith,5,9,33,5.6,46.774811,30.608559,88800
brick,5,8,33.4,10,46.747323,30.66203,95000
block,1,12,34.7,10,46.771818,30.005185,69000
panel,4,9,33.2,7.7,46.782856,30.592321,94000
block,10,12,34.8,10.2,46.744784,30.680402,95000
brick,4,6,33.5,6.7,46.754583,30.594604,165000
monolith,5,9,33,6,46.774811,30.608559,89000
block,6,9,33,6,46.72164,30.606658,99990
panel,8,16,34,9.4,46.776006,30.646204,105000
panel,14,24,33,9,46.753154,30.594036,11005
brick,4,9,33,6,46.743634,30.640488,115000
monolith,11,12,37.74,7,46.770811,30.591189,16600
block,2,14,36,8,46.734151,30.61892,12000
block,10,14,35,10,46.78038,30.64524,107000
brick,3,8,36.1,8.5,46.767722,30.565903,11000
block,9,12,36,10,46.764197,30.565245,111000
monolith,10,12,37.45,10,46.770811,30.591189,166000
brick,1,9,36.9,7.8,46.761872,30.562606,11900
block,3,5,35.3,6.7,46.742246,30.662991,92000
panel,5,17,36.5,7.5,46.743041,30.680659,95000
panel,12,17,37.8,8,46.743988,30.686545,108000
block,10,12,35,10,46.740046,30.660889,115000
stalin,3,7,36.5,7,46.76797,30.503025,135000
brick,3,7,36.5,7,46.76797,30.503025,135000
block,1,12,35,9.8,46.781109,30.641584,79500
block,3,12,36,11,46.744784,30.680402,82000
block,5,12,35.7,9.7,46.744662,30.68643,83000
brick,7,9,37.4,7.6,46.791876,30.624418,93500
panel,2,12,35.3,10,46.782284,30.589428,94500
brick,8,14,36,8,46.788717,30.629888,98000
brick,4,9,37.2,8,46.761872,30.562606,109000
brick,3,8,36,9,46.779692,30.668004,122000
brick,8,8,36.6,4.5,46.776472,30.598869,13990
brick,5,12,36,7,46.748665,30.5068,15000
brick,9,9,36.1,8.5,46.748741,30.585089,165000
brick,2,7,35,8,46.738951,30.5836,164000
monolith,11,12,37.74,10,46.770811,30.591189,22000
brick,6,9,36,8,46.791876,30.624418,99900
panel,3,12,38,12,46.731642,30.565614,145000
monolith,7,12,39.1,7,46.770811,30.591189,176000
monolith,10,25,39,9,46.740015,30.68065,97500
panel,1,10,39,10,46.775834,30.644101,109000
brick,3,7,39.1,5.1,46.737096,30.6006,93500
block,1,9,38,6,46.732286,30.602154,81000
block,9,16,38,9.8,46.790651,30.640093,89000
monolith,14,17,38,8,46.741166,30.682269,99000
block,1,12,38.1,6.5,46.790514,30.632208,92500
panel,7,9,38,8,46.791876,30.624418,93500
block,10,12,38.8,6,46.763417,30.540028,99500
brick,5,7,39.4,5.3,46.768071,30.669306,10200
panel,9,17,38.7,7.3,46.743988,30.686545,11000
block,8,14,39,6,46.722614,30.609236,126000
block,12,12,39.2,4.1,46.770547,30.502136,133500
monolith,4,7,39,10,46.730948,30.64401,218000
panel,8,12,38,10,46.773363,30.009021,86000
panel,17,17,38,7.1,46.74108,30.6838,87000
brick,5,12,38,10,46.775636,30.68458,107990
brick,2,14,38,8.6,46.73741,30.63105,136000
brick,8,9,38,7,46.731774,30.611455,137000
monolith,34,36,38,12,46.75133,30.52688,115000
monolith,50,65,40,8,46.751143,30.533033,20110
